user_id,phase,theme,match,total_matches,weight
116a3ebe9814,initial,cost_effectiveness_impact,1,4,0.25
116a3ebe9814,initial,deservingness_targeting,1,4,0.25
116a3ebe9814,initial,effectiveness_skepticism,0,4,0
116a3ebe9814,initial,fairness_equity,0,4,0
116a3ebe9814,initial,global_scale_impact,0,4,0
116a3ebe9814,initial,local_community_focus,1,4,0.25
116a3ebe9814,initial,long_term_structural,0,4,0
116a3ebe9814,initial,moral_duty_compassion,1,4,0.25
116a3ebe9814,initial,personal_connection_identity,0,4,0
116a3ebe9814,initial,short_term_relief,0,4,0
116a3ebe9814,initial,skepticism_uncertainty,0,4,0
116a3ebe9814,initial,tradeoffs_balancing,0,4,0
116a3ebe9814,initial,urgency_basic_needs,0,4,0
116a3ebe9814,initial,visibility_salience,0,4,0
15f012a0dc2c,initial,cost_effectiveness_impact,1,1,1
15f012a0dc2c,initial,deservingness_targeting,0,1,0
15f012a0dc2c,initial,effectiveness_skepticism,0,1,0
15f012a0dc2c,initial,fairness_equity,0,1,0
15f012a0dc2c,initial,global_scale_impact,0,1,0
15f012a0dc2c,initial,local_community_focus,0,1,0
15f012a0dc2c,initial,long_term_structural,0,1,0
15f012a0dc2c,initial,moral_duty_compassion,0,1,0
15f012a0dc2c,initial,personal_connection_identity,0,1,0
15f012a0dc2c,initial,short_term_relief,0,1,0
15f012a0dc2c,initial,skepticism_uncertainty,0,1,0
15f012a0dc2c,initial,tradeoffs_balancing,0,1,0
15f012a0dc2c,initial,urgency_basic_needs,0,1,0
15f012a0dc2c,initial,visibility_salience,0,1,0
3c5387b0da49,initial,cost_effectiveness_impact,0,2,0
3c5387b0da49,initial,deservingness_targeting,1,2,0.5
3c5387b0da49,initial,effectiveness_skepticism,0,2,0
3c5387b0da49,initial,fairness_equity,0,2,0
3c5387b0da49,initial,global_scale_impact,0,2,0
3c5387b0da49,initial,local_community_focus,1,2,0.5
3c5387b0da49,initial,long_term_structural,0,2,0
3c5387b0da49,initial,moral_duty_compassion,0,2,0
3c5387b0da49,initial,personal_connection_identity,0,2,0
3c5387b0da49,initial,short_term_relief,0,2,0
3c5387b0da49,initial,skepticism_uncertainty,0,2,0
3c5387b0da49,initial,tradeoffs_balancing,0,2,0
3c5387b0da49,initial,urgency_basic_needs,0,2,0
3c5387b0da49,initial,visibility_salience,0,2,0
455dbb067ce7,initial,cost_effectiveness_impact,0,1,0
455dbb067ce7,initial,deservingness_targeting,1,1,1
455dbb067ce7,initial,effectiveness_skepticism,0,1,0
455dbb067ce7,initial,fairness_equity,0,1,0
455dbb067ce7,initial,global_scale_impact,0,1,0
455dbb067ce7,initial,local_community_focus,0,1,0
455dbb067ce7,initial,long_term_structural,0,1,0
455dbb067ce7,initial,moral_duty_compassion,0,1,0
455dbb067ce7,initial,personal_connection_identity,0,1,0
